run_id,sweep_id,status,git_sha,config_hash,timestamp_utc,test_acc,test_auc,best_val_acc,best_val_epoch,chance_floor,train_time_sec,dataset,lr,batchSize,epochs,optimizer,augmentation,seed,architecture,gpu,host
002_organ_lr/run_038,002_organ_lr,complete,75ab7b5,3a3a3a2e,2026-05-28T18:05:33Z,0.709836065573771,0.951988274400884,NaN,NaN,0.113114754098361,22,organmnist3d,0.0005,32,50,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_040,002_organ_lr,complete,75ab7b5,ec474d4b,2026-05-28T18:06:43Z,0.708196721311475,0.952580072663047,NaN,NaN,0.113114754098361,22,organmnist3d,0.0005,32,50,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_020,002_organ_lr,complete,75ab7b5,7cd2f600,2026-05-28T17:51:34Z,0.670491803278689,0.950492409142581,NaN,NaN,0.113114754098361,27,organmnist3d,0.0003,16,50,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_018,002_organ_lr,complete,75ab7b5,bf913c2a,2026-05-28T17:50:10Z,0.652459016393443,0.945096465674314,NaN,NaN,0.113114754098361,28,organmnist3d,0.0003,16,50,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_012,002_organ_lr,complete,75ab7b5,4dcc8497,2026-05-28T17:45:22Z,0.636065573770492,0.921950540759347,NaN,NaN,0.113114754098361,48,organmnist3d,0.0001,16,100,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_024,002_organ_lr,complete,75ab7b5,7833feab,2026-05-28T17:53:54Z,0.629508196721312,0.924681739373641,NaN,NaN,0.113114754098361,22,organmnist3d,0.0003,32,50,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_022,002_organ_lr,complete,75ab7b5,455f2d45,2026-05-28T17:52:44Z,0.595081967213115,0.931392555887049,NaN,NaN,0.113114754098361,21,organmnist3d,0.0003,32,50,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_010,002_organ_lr,complete,75ab7b5,70a4bd8f,2026-05-28T17:43:13Z,0.585245901639344,0.918796756050803,NaN,NaN,0.113114754098361,48,organmnist3d,0.0001,16,100,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_016,002_organ_lr,complete,75ab7b5,eaa1f6a0,2026-05-28T17:48:47Z,0.575409836065574,0.910250094803897,NaN,NaN,0.113114754098361,37,organmnist3d,0.0001,32,100,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_014,002_organ_lr,complete,75ab7b5,b9f618c4,2026-05-28T17:47:04Z,0.549180327868853,0.903514016758312,NaN,NaN,0.113114754098361,36,organmnist3d,0.0001,32,100,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_002,002_organ_lr,complete,75ab7b5,1e54c834,2026-05-28T17:37:20Z,0.495081967213115,0.887753627517007,NaN,NaN,0.113114754098361,27,organmnist3d,0.0001,16,50,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_006,002_organ_lr,complete,75ab7b5,72deaa6b,2026-05-28T17:39:54Z,0.459016393442623,0.87169807065617,NaN,NaN,0.113114754098361,22,organmnist3d,0.0001,32,50,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_004,002_organ_lr,complete,75ab7b5,e259620b,2026-05-28T17:38:44Z,0.454098360655738,0.892075208100406,NaN,NaN,0.113114754098361,28,organmnist3d,0.0001,16,50,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_008,002_organ_lr,complete,75ab7b5,5b958a49,2026-05-28T17:41:05Z,0.421311475409836,0.878773185339841,NaN,NaN,0.113114754098361,22,organmnist3d,0.0001,32,50,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
